ticket_id,customer_id,issue_type,response_time,resolution_status,feedback_rating
T0001,C96129,Account Issue,1 hours,Resolved,4.9
T0002,C11556,Product Inquiry,23 hours,Escalated,2.3
T0003,C69127,Refund Request,31 hours,Pending,1.1
T0004,C51915,Product Inquiry,14 hours,,3.7
T0005,C42806,Order Delay,33 hours,Escalated,4.5
T0006,C38734,Order Delay,38 hours,Escalated,4.7
T0007,C88264,Account Issue,43 hours,Pending,2.4
T0008,C70189,Product Inquiry,38 hours,Pending,1.5
T0009,C34750,Order Delay,17 hours,Pending,2.5
T0010,C22763,Product Inquiry,7 hours,Pending,4.1
T0011,C73334,Account Issue,5 hours,Resolved,1.5
T0012,C61438,Refund Request,48 hours,Escalated,2.0
T0013,C84519,Product Inquiry,48 hours,Resolved,4.8
T0014,C51100,Account Issue,46 hours,Resolved,3.4
T0015,C54892,Refund Request,40 hours,Escalated,2.8
T0016,C52109,Account Issue,16 hours,Pending,1.8
T0017,C61964,Order Delay,27 hours,Escalated,1.8
T0018,C56568,Order Delay,27 hours,Resolved,1.3
T0019,C99702,Refund Request,,Pending,3.5
T0020,C99575,Account Issue,44 hours,Pending,3.9
T0021,C89849,Account Issue,47 hours,Escalated,4.0
T0022,C95727,Order Delay,10 hours,Escalated,2.6
T0023,C71230,Product Inquiry,28 hours,Escalated,3.3
T0024,,Refund Request,41 hours,Pending,1.6
T0025,C76478,Account Issue,6 hours,Escalated,2.8
T0026,C15733,Order Delay,16 hours,Escalated,2.6
T0027,C81140,Order Delay,23 hours,Pending,2.8
T0028,C33552,Account Issue,7 hours,Resolved,2.2
T0029,C57832,Account Issue,29 hours,Resolved,1.1
T0030,C96855,Product Inquiry,34 hours,Pending,3.0
T0031,C46428,Order Delay,2 hours,Escalated,3.8
T0032,C15867,Account Issue,41 hours,Resolved,1.7
T0033,C43824,Product Inquiry,28 hours,Resolved,4.3
T0034,C84593,Product Inquiry,36 hours,Escalated,3.6
T0035,C87415,Account Issue,1 hours,Pending,2.5
T0036,,Product Inquiry,40 hours,Resolved,1.8
T0037,C20381,Refund Request,34 hours,Pending,3.8
T0038,C46640,Order Delay,21 hours,Resolved,3.4
T0039,C20726,Account Issue,47 hours,Pending,2.6
T0040,C31213,Refund Request,48 hours,Escalated,3.5
T0041,C60597,Order Delay,18 hours,Resolved,1.9
T0042,C22284,Product Inquiry,48 hours,Pending,4.9
T0043,C74413,Product Inquiry,16 hours,Escalated,2.9
T0044,C06829,Product Inquiry,23 hours,Pending,1.5
T0045,C78114,Order Delay,28 hours,Escalated,4.9
T0046,C94070,Product Inquiry,12 hours,Resolved,3.6
T0047,C19811,Product Inquiry,41 hours,Escalated,2.2
T0048,C92867,Order Delay,10 hours,Escalated,2.1
T0049,C58316,Refund Request,,Resolved,4.1
T0050,C59809,Product Inquiry,17 hours,Escalated,2.5
T0051,C56598,Refund Request,25 hours,Escalated,4.8
T0052,C99757,Account Issue,18 hours,Pending,2.8
T0053,C90476,Product Inquiry,15 hours,Pending,2.0
T0054,C09985,Account Issue,8 hours,Resolved,2.1
T0055,C76588,Product Inquiry,31 hours,Pending,
T0056,C42067,Account Issue,39 hours,Pending,
T0057,C09533,Account Issue,48 hours,,
T0058,C38390,Refund Request,27 hours,Escalated,1.5
T0059,C77530,Account Issue,8 hours,Escalated,4.6
T0060,,Refund Request,20 hours,Pending,4.5
T0061,C88230,Account Issue,2 hours,Pending,2.0
T0062,C44334,Account Issue,46 hours,Resolved,4.4
T0063,C59349,Product Inquiry,16 hours,Escalated,2.4
T0064,C61490,Product Inquiry,47 hours,Resolved,1.1
T0065,C94617,Refund Request,13 hours,Escalated,3.7
T0066,C34267,Product Inquiry,44 hours,Escalated,1.2
T0067,C10243,Product Inquiry,17 hours,Resolved,2.4
T0068,C00477,Refund Request,,Escalated,4.0
T0069,C47608,Account Issue,37 hours,Escalated,3.0
T0070,C42289,Account Issue,36 hours,Escalated,1.7
T0071,C75978,Account Issue,46 hours,Pending,2.9
T0072,C54653,Order Delay,23 hours,Pending,3.9
T0073,C70267,Product Inquiry,32 hours,Escalated,4.5
T0074,C48743,Order Delay,27 hours,Escalated,3.5
T0075,C58903,Account Issue,10 hours,Pending,2.3
T0076,C81743,Product Inquiry,4 hours,,1.4
T0077,C55762,Account Issue,41 hours,Escalated,2.3
T0078,C61172,Product Inquiry,10 hours,,3.4
T0079,C71531,Order Delay,14 hours,Escalated,1.6
T0080,C14723,Product Inquiry,38 hours,Resolved,4.2
T0081,,Account Issue,44 hours,Pending,4.0
T0082,C49854,Product Inquiry,,Resolved,3.2
T0083,C10030,Product Inquiry,35 hours,Resolved,1.2
T0084,C02181,Account Issue,23 hours,Escalated,1.3
T0085,C60090,Refund Request,19 hours,Pending,2.5
T0086,C51656,Product Inquiry,11 hours,Pending,2.6
T0087,C78819,Order Delay,34 hours,Pending,4.8
T0088,C42393,Product Inquiry,33 hours,Pending,2.6
T0089,C14226,Order Delay,29 hours,Pending,3.8
T0090,C58773,Product Inquiry,8 hours,Pending,2.1
T0091,C99039,Product Inquiry,7 hours,Pending,3.8
T0092,C25301,Account Issue,21 hours,Pending,4.2
T0093,C80031,Order Delay,40 hours,Escalated,3.1
T0094,C17947,Product Inquiry,37 hours,Pending,1.3
T0095,C46777,Order Delay,40 hours,Escalated,3.5
T0096,C60389,Refund Request,14 hours,Resolved,1.1
T0097,,Product Inquiry,23 hours,Escalated,2.4
T0098,C27926,Order Delay,42 hours,Resolved,4.4
T0099,C45674,Product Inquiry,9 hours,Resolved,2.1
T0100,C80978,Order Delay,48 hours,Resolved,4.5
T0101,C28438,Refund Request,5 hours,Resolved,3.8
T0102,C83435,Order Delay,,Pending,1.5
T0103,C88369,Product Inquiry,,Pending,1.3
T0104,C86349,Account Issue,4 hours,Escalated,1.5
T0105,C49964,Account Issue,,Pending,
T0106,C95335,Refund Request,,Resolved,
T0107,C61986,Refund Request,43 hours,Pending,4.7
T0108,C16091,,2 hours,Pending,
T0109,C92888,Order Delay,6 hours,Resolved,4.5
T0110,C39330,Order Delay,34 hours,Resolved,5.0
T0111,C19800,Account Issue,6 hours,Escalated,
T0112,C20583,Account Issue,11 hours,Pending,2.0
T0113,C43737,Refund Request,11 hours,Pending,2.1
T0114,C72310,Product Inquiry,41 hours,Escalated,2.2
T0115,C76443,Account Issue,35 hours,Escalated,2.5
T0116,C12364,Product Inquiry,26 hours,Resolved,4.8
T0117,,Account Issue,4 hours,Escalated,3.2
T0118,C13619,Refund Request,23 hours,Resolved,4.3
T0119,C70485,Product Inquiry,29 hours,Escalated,1.9
T0120,C09612,Order Delay,19 hours,Resolved,2.4
T0121,C29041,Refund Request,38 hours,Pending,2.5
T0122,C42739,Order Delay,,Escalated,3.7
T0123,C97449,Product Inquiry,23 hours,Escalated,1.1
T0124,,Order Delay,17 hours,Escalated,2.0
T0125,C91840,Refund Request,,Pending,1.1
T0126,C23792,Product Inquiry,43 hours,Escalated,3.1
T0127,C64232,Product Inquiry,36 hours,Resolved,2.5
T0128,C10675,Order Delay,28 hours,Escalated,2.9
T0129,C89930,Refund Request,11 hours,Resolved,3.7
T0130,C76940,Refund Request,26 hours,Escalated,4.7
T0131,,,23 hours,Escalated,5.0
T0132,C10734,Account Issue,32 hours,,2.0
T0133,C18738,Account Issue,35 hours,Resolved,2.7
T0134,C80456,Account Issue,21 hours,Escalated,2.2
T0135,C54345,Product Inquiry,17 hours,Escalated,2.9
T0136,C57766,Order Delay,,Resolved,1.4
T0137,,Order Delay,2 hours,Resolved,1.7
T0138,C08522,Product Inquiry,13 hours,Escalated,2.0
T0139,C30619,Account Issue,48 hours,Pending,1.2
T0140,C61875,Refund Request,2 hours,Escalated,2.7
T0141,C53234,Account Issue,11 hours,Pending,3.4
T0142,C22765,Account Issue,17 hours,Resolved,3.3
T0143,,Order Delay,45 hours,Resolved,1.8
T0144,C73225,,5 hours,Resolved,1.3
T0145,C68187,Product Inquiry,1 hours,Pending,1.9
T0146,C61992,Account Issue,,,4.5
T0147,C33959,Refund Request,15 hours,Resolved,2.4
T0148,C94340,Product Inquiry,28 hours,Resolved,2.8
T0149,C64019,Order Delay,36 hours,Resolved,4.3
T0150,C46110,Order Delay,32 hours,Pending,3.3
T0151,C66259,Refund Request,11 hours,Pending,4.7
T0152,C74588,Product Inquiry,39 hours,Escalated,2.7
T0153,C76151,Product Inquiry,30 hours,Resolved,3.2
T0154,C05758,Order Delay,23 hours,Escalated,1.2
T0155,C77513,Account Issue,7 hours,Pending,
T0156,C93273,Product Inquiry,6 hours,Resolved,2.6
T0157,C20842,Order Delay,36 hours,Pending,3.8
T0158,C42017,Refund Request,25 hours,Pending,4.5
T0159,C85282,Account Issue,42 hours,Pending,2.3
T0160,C23086,Product Inquiry,29 hours,Pending,3.5
T0161,C84436,Refund Request,35 hours,Pending,3.5
T0162,C36795,Order Delay,7 hours,Escalated,5.0
T0163,C44356,Product Inquiry,17 hours,Pending,3.3
T0164,C58052,Order Delay,14 hours,Pending,4.1
T0165,C19272,Refund Request,18 hours,Resolved,2.5
T0166,C77116,Product Inquiry,9 hours,Resolved,
T0167,C81218,Account Issue,10 hours,Escalated,2.4
T0168,C31733,Product Inquiry,17 hours,Resolved,3.1
T0169,C89254,Account Issue,21 hours,Resolved,2.8
